timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/05/04 18:17:15.070, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:15.071, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:16.072, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:16.074, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:16.075, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:16.077, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:16.077, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:17.079, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:17.080, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:17.082, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:17.084, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:17.084, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:18.086, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:18.087, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:18.089, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:18.091, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:18.091, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:19.093, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:19.094, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:19.096, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:19.098, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:19.098, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:20.100, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:20.101, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:20.103, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:20.104, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:20.105, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:21.107, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:21.111, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:21.112, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:21.113, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:21.114, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:22.116, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:22.120, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:22.122, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:22.123, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:22.124, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:23.125, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:23.130, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:23.131, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:23.133, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:23.133, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:24.135, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:24.139, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:24.140, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:24.142, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:24.142, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:25.144, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:25.148, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:25.149, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:25.151, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:25.151, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:26.153, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:26.157, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:26.158, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:26.160, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:26.160, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:27.162, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:27.166, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:27.167, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:27.169, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:27.169, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:28.171, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:28.175, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:28.177, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:28.178, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:28.179, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:29.180, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:29.184, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:29.186, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:29.187, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:29.188, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:30.189, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:30.193, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:30.195, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:30.196, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:30.197, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:31.199, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:31.202, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:31.204, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:31.206, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:31.206, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:32.208, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:32.211, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:32.213, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:32.215, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:32.215, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:33.217, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:33.221, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:33.222, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:33.224, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:33.225, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:34.226, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:34.227, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:34.229, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:34.230, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:34.231, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:35.232, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:35.236, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:35.238, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:35.239, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:35.240, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:36.242, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:36.246, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:36.248, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:36.249, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:36.250, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:37.251, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:37.255, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:37.257, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:37.258, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:37.259, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:38.260, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:38.264, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:38.266, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:38.267, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:38.268, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:39.269, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:39.273, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:39.275, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:39.276, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:39.277, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:40.278, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:40.282, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:40.283, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:40.285, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:40.285, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:41.287, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:41.291, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:41.292, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:41.294, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:41.294, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:42.296, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:42.300, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:42.301, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:42.302, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:42.303, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:43.305, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:43.309, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:43.310, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:43.311, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:43.312, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:44.314, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:44.317, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:44.319, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:44.320, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:44.321, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:45.323, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:45.327, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:45.328, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:45.329, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:45.330, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:46.331, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:46.335, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:46.337, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:46.338, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:46.339, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:47.340, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:47.344, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:47.346, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:47.347, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:47.348, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:48.351, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:48.356, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:48.357, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:48.359, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:48.359, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:49.363, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:49.364, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:49.366, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:49.367, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:49.368, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:50.369, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:50.373, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:50.375, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:50.376, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:17:50.377, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:17:51.378, 0 %, 0 %, 13 MiB, 81920 MiB
