timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/05/04 18:15:53.923, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:53.925, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:53.928, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:53.930, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:15:53.931, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:54.937, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:54.939, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:54.941, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:54.942, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:15:54.944, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:55.947, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:55.948, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:55.950, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:55.951, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:15:55.952, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:56.953, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:56.955, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:56.958, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:56.961, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:15:56.962, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:57.965, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:57.966, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:57.968, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:57.969, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:15:57.970, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:58.971, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:58.973, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:58.974, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:58.977, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:15:58.979, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:59.982, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:59.983, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:59.985, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:15:59.986, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:15:59.987, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:16:00.988, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:16:00.990, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:16:00.991, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:16:00.994, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:16:00.996, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:16:01.998, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:16:01.999, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:16:02.001, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:16:02.002, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:16:02.003, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:16:03.004, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:16:03.005, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:16:03.007, 0 %, 0 %, 13 MiB, 81920 MiB
